
  0%|          | 0/2000 [00:00<?, ?it/s]
  5%|▍         | 91/2000 [00:49<14:43,  2.16it/s, train: 0.0190, test: 0.0167]
  5%|▍         | 92/2000 [00:49<14:44,  2.16it/s, train: 0.0122, test: 0.0162]
  5%|▍         | 93/2000 [00:50<14:43,  2.16it/s, train: 0.0153, test: 0.0281]
  5%|▍         | 94/2000 [00:50<14:42,  2.16it/s, train: 0.0195, test: 0.0154]
  5%|▍         | 95/2000 [00:51<14:42,  2.16it/s, train: 0.0181, test: 0.0321]
  5%|▍         | 96/2000 [00:51<14:41,  2.16it/s, train: 0.0249, test: 0.0216]
  5%|▍         | 97/2000 [00:51<14:41,  2.16it/s, train: 0.0227, test: 0.0285]
  5%|▍         | 98/2000 [00:52<14:41,  2.16it/s, train: 0.0231, test: 0.0155]
  5%|▍         | 99/2000 [00:52<14:41,  2.16it/s, train: 0.0164, test: 0.0147]
  5%|▌         | 100/2000 [00:53<14:41,  2.16it/s, train: 0.0135, test: 0.0225]
  5%|▌         | 101/2000 [00:53<14:40,  2.16it/s, train: 0.0146, test: 0.0171]
  5%|▌         | 102/2000 [00:54<14:40,  2.16it/s, train: 0.0114, test: 0.0115]
  5%|▌         | 103/2000 [00:54<14:39,  2.16it/s, train: 0.0099, test: 0.0128]
  5%|▌         | 104/2000 [00:55<14:40,  2.15it/s, train: 0.0092, test: 0.0149]
  5%|▌         | 105/2000 [00:55<14:39,  2.15it/s, train: 0.0114, test: 0.0177]
  5%|▌         | 106/2000 [00:56<14:39,  2.15it/s, train: 0.0137, test: 0.0127]
  5%|▌         | 107/2000 [00:56<14:38,  2.16it/s, train: 0.0117, test: 0.0122]
  5%|▌         | 108/2000 [00:57<14:37,  2.15it/s, train: 0.0096, test: 0.0177]
  5%|▌         | 109/2000 [00:57<14:37,  2.16it/s, train: 0.0104, test: 0.0154]
  6%|▌         | 110/2000 [00:57<14:37,  2.15it/s, train: 0.0111, test: 0.0141]
  6%|▌         | 111/2000 [00:58<14:36,  2.15it/s, train: 0.0134, test: 0.0246]
  6%|▌         | 112/2000 [00:58<14:35,  2.16it/s, train: 0.0125, test: 0.0117]
  6%|▌         | 113/2000 [00:59<14:35,  2.15it/s, train: 0.0093, test: 0.0180]
  6%|▌         | 114/2000 [00:59<14:35,  2.15it/s, train: 0.0103, test: 0.0132]
  6%|▌         | 115/2000 [01:00<14:34,  2.16it/s, train: 0.0097, test: 0.0109]
  6%|▌         | 116/2000 [01:00<14:34,  2.16it/s, train: 0.0099, test: 0.0125]
  6%|▌         | 117/2000 [01:01<14:34,  2.15it/s, train: 0.0077, test: 0.0097]
  6%|▌         | 118/2000 [01:01<14:33,  2.15it/s, train: 0.0073, test: 0.0105]
  6%|▌         | 119/2000 [01:02<14:32,  2.16it/s, train: 0.0065, test: 0.0095]
  6%|▌         | 120/2000 [01:02<14:32,  2.15it/s, train: 0.0067, test: 0.0129]
  6%|▌         | 121/2000 [01:03<14:32,  2.15it/s, train: 0.0086, test: 0.0121]
  6%|▌         | 122/2000 [01:03<14:31,  2.15it/s, train: 0.0098, test: 0.0170]
  6%|▌         | 123/2000 [01:03<14:31,  2.15it/s, train: 0.0145, test: 0.0178]
  6%|▌         | 124/2000 [01:04<14:30,  2.15it/s, train: 0.0102, test: 0.0154]
  6%|▋         | 125/2000 [01:04<14:30,  2.15it/s, train: 0.0127, test: 0.0198]
  6%|▋         | 126/2000 [01:05<14:29,  2.15it/s, train: 0.0116, test: 0.0145]
  6%|▋         | 127/2000 [01:05<14:29,  2.15it/s, train: 0.0096, test: 0.0205]
  6%|▋         | 128/2000 [01:06<14:28,  2.15it/s, train: 0.0120, test: 0.0120]
  6%|▋         | 129/2000 [01:06<14:29,  2.15it/s, train: 0.0095, test: 0.0203]
  6%|▋         | 130/2000 [01:07<14:28,  2.15it/s, train: 0.0112, test: 0.0103]
  7%|▋         | 131/2000 [01:07<14:27,  2.15it/s, train: 0.0075, test: 0.0106]
  7%|▋         | 132/2000 [01:08<14:27,  2.15it/s, train: 0.0089, test: 0.0105]
  7%|▋         | 133/2000 [01:08<14:25,  2.16it/s, train: 0.0072, test: 0.0115]
  7%|▋         | 134/2000 [01:09<14:25,  2.16it/s, train: 0.0068, test: 0.0093]
  7%|▋         | 135/2000 [01:09<14:24,  2.16it/s, train: 0.0062, test: 0.0106]
  7%|▋         | 136/2000 [01:10<14:24,  2.16it/s, train: 0.0060, test: 0.0081]
  7%|▋         | 137/2000 [01:10<14:24,  2.15it/s, train: 0.0065, test: 0.0114]
  7%|▋         | 138/2000 [01:10<14:23,  2.16it/s, train: 0.0067, test: 0.0123]
  7%|▋         | 139/2000 [01:11<14:24,  2.15it/s, train: 0.0089, test: 0.0116]
  7%|▋         | 140/2000 [01:11<14:23,  2.15it/s, train: 0.0079, test: 0.0097]
  7%|▋         | 141/2000 [01:12<14:22,  2.15it/s, train: 0.0080, test: 0.0124]
  7%|▋         | 142/2000 [01:12<14:22,  2.15it/s, train: 0.0082, test: 0.0091]
  7%|▋         | 143/2000 [01:13<14:21,  2.15it/s, train: 0.0087, test: 0.0124]
  7%|▋         | 144/2000 [01:13<14:22,  2.15it/s, train: 0.0066, test: 0.0111]
  7%|▋         | 145/2000 [01:14<14:21,  2.15it/s, train: 0.0060, test: 0.0094]
  7%|▋         | 146/2000 [01:14<14:21,  2.15it/s, train: 0.0077, test: 0.0097]
  7%|▋         | 147/2000 [01:15<14:21,  2.15it/s, train: 0.0078, test: 0.0128]
  7%|▋         | 148/2000 [01:15<14:21,  2.15it/s, train: 0.0076, test: 0.0113]
  7%|▋         | 149/2000 [01:16<14:20,  2.15it/s, train: 0.0059, test: 0.0095]
  8%|▊         | 150/2000 [01:16<14:20,  2.15it/s, train: 0.0061, test: 0.0082]
  8%|▊         | 151/2000 [01:16<14:20,  2.15it/s, train: 0.0076, test: 0.0096]
  8%|▊         | 152/2000 [01:17<14:21,  2.15it/s, train: 0.0075, test: 0.0092]
  8%|▊         | 153/2000 [01:17<14:19,  2.15it/s, train: 0.0101, test: 0.0172]
  8%|▊         | 154/2000 [01:18<14:19,  2.15it/s, train: 0.0105, test: 0.0101]
  8%|▊         | 155/2000 [01:18<14:18,  2.15it/s, train: 0.0076, test: 0.0118]
  8%|▊         | 156/2000 [01:19<14:18,  2.15it/s, train: 0.0063, test: 0.0085]
  8%|▊         | 157/2000 [01:19<14:17,  2.15it/s, train: 0.0047, test: 0.0082]
  8%|▊         | 158/2000 [01:20<14:16,  2.15it/s, train: 0.0044, test: 0.0082]
  8%|▊         | 159/2000 [01:20<14:16,  2.15it/s, train: 0.0044, test: 0.0084]
  8%|▊         | 160/2000 [01:21<14:15,  2.15it/s, train: 0.0060, test: 0.0107]
  8%|▊         | 161/2000 [01:21<14:15,  2.15it/s, train: 0.0053, test: 0.0099]
  8%|▊         | 162/2000 [01:22<14:14,  2.15it/s, train: 0.0057, test: 0.0092]
  8%|▊         | 163/2000 [01:22<14:14,  2.15it/s, train: 0.0059, test: 0.0080]
  8%|▊         | 164/2000 [01:23<14:13,  2.15it/s, train: 0.0055, test: 0.0117]
  8%|▊         | 165/2000 [01:23<14:12,  2.15it/s, train: 0.0079, test: 0.0155]
  8%|▊         | 166/2000 [01:23<14:12,  2.15it/s, train: 0.0081, test: 0.0090]
  8%|▊         | 167/2000 [01:24<14:12,  2.15it/s, train: 0.0064, test: 0.0096]
  8%|▊         | 168/2000 [01:24<14:12,  2.15it/s, train: 0.0061, test: 0.0115]
  8%|▊         | 169/2000 [01:25<14:12,  2.15it/s, train: 0.0066, test: 0.0077]
  8%|▊         | 170/2000 [01:25<14:12,  2.15it/s, train: 0.0051, test: 0.0082]
  9%|▊         | 171/2000 [01:26<14:12,  2.15it/s, train: 0.0048, test: 0.0074]
  9%|▊         | 172/2000 [01:26<14:12,  2.15it/s, train: 0.0055, test: 0.0077]
  9%|▊         | 173/2000 [01:27<14:11,  2.15it/s, train: 0.0058, test: 0.0103]
  9%|▊         | 174/2000 [01:27<14:10,  2.15it/s, train: 0.0075, test: 0.0107]
  9%|▉         | 175/2000 [01:28<14:10,  2.15it/s, train: 0.0071, test: 0.0135]
  9%|▉         | 176/2000 [01:28<14:09,  2.15it/s, train: 0.0063, test: 0.0090]
  9%|▉         | 177/2000 [01:29<14:08,  2.15it/s, train: 0.0061, test: 0.0109]
  9%|▉         | 178/2000 [01:29<14:08,  2.15it/s, train: 0.0066, test: 0.0074]
  9%|▉         | 179/2000 [01:30<14:07,  2.15it/s, train: 0.0053, test: 0.0093]
  9%|▉         | 180/2000 [01:30<14:08,  2.15it/s, train: 0.0057, test: 0.0103]
  9%|▉         | 181/2000 [01:30<14:07,  2.15it/s, train: 0.0059, test: 0.0085]
  9%|▉         | 182/2000 [01:31<14:07,  2.15it/s, train: 0.0056, test: 0.0080]
  9%|▉         | 183/2000 [01:31<14:06,  2.15it/s, train: 0.0059, test: 0.0140]
  9%|▉         | 184/2000 [01:32<14:06,  2.15it/s, train: 0.0090, test: 0.0126]
  9%|▉         | 185/2000 [01:32<14:07,  2.14it/s, train: 0.0069, test: 0.0093]
  9%|▉         | 186/2000 [01:33<14:06,  2.14it/s, train: 0.0058, test: 0.0097]
  9%|▉         | 187/2000 [01:33<14:06,  2.14it/s, train: 0.0059, test: 0.0109]
  9%|▉         | 188/2000 [01:34<14:05,  2.14it/s, train: 0.0056, test: 0.0081]
  9%|▉         | 189/2000 [01:34<14:04,  2.15it/s, train: 0.0051, test: 0.0087]
 10%|▉         | 190/2000 [01:35<14:03,  2.15it/s, train: 0.0057, test: 0.0092]
 10%|▉         | 191/2000 [01:35<14:03,  2.14it/s, train: 0.0051, test: 0.0098]
 10%|▉         | 192/2000 [01:36<14:02,  2.15it/s, train: 0.0047, test: 0.0074]
 10%|▉         | 193/2000 [01:36<14:02,  2.15it/s, train: 0.0079, test: 0.0098]
 10%|▉         | 194/2000 [01:37<14:01,  2.15it/s, train: 0.0082, test: 0.0171]
 10%|▉         | 195/2000 [01:37<14:01,  2.15it/s, train: 0.0120, test: 0.0111]
 10%|▉         | 196/2000 [01:37<13:59,  2.15it/s, train: 0.0113, test: 0.0156]
 10%|▉         | 197/2000 [01:38<14:00,  2.15it/s, train: 0.0108, test: 0.0167]
 10%|▉         | 198/2000 [01:38<13:59,  2.15it/s, train: 0.0069, test: 0.0087]
 10%|▉         | 199/2000 [01:39<13:58,  2.15it/s, train: 0.0051, test: 0.0084]
 10%|█         | 200/2000 [01:39<13:58,  2.15it/s, train: 0.0045, test: 0.0107]
 10%|█         | 201/2000 [01:40<13:58,  2.14it/s, train: 0.0061, test: 0.0074]
 10%|█         | 202/2000 [01:40<13:58,  2.14it/s, train: 0.0060, test: 0.0082]
 10%|█         | 203/2000 [01:41<13:58,  2.14it/s, train: 0.0050, test: 0.0074]
 10%|█         | 204/2000 [01:41<13:57,  2.14it/s, train: 0.0044, test: 0.0075]
 10%|█         | 205/2000 [01:42<13:57,  2.14it/s, train: 0.0039, test: 0.0066]
 10%|█         | 206/2000 [01:42<13:56,  2.15it/s, train: 0.0038, test: 0.0069]
 10%|█         | 207/2000 [01:43<13:55,  2.14it/s, train: 0.0043, test: 0.0076]
 10%|█         | 208/2000 [01:43<13:55,  2.15it/s, train: 0.0055, test: 0.0095]
 10%|█         | 209/2000 [01:44<13:55,  2.14it/s, train: 0.0060, test: 0.0072]
 10%|█         | 210/2000 [01:44<13:53,  2.15it/s, train: 0.0059, test: 0.0100]
 11%|█         | 211/2000 [01:44<13:53,  2.15it/s, train: 0.0088, test: 0.0093]
 11%|█         | 212/2000 [01:45<13:53,  2.15it/s, train: 0.0083, test: 0.0073]
 11%|█         | 213/2000 [01:45<13:52,  2.15it/s, train: 0.0069, test: 0.0103]
 11%|█         | 214/2000 [01:46<13:52,  2.14it/s, train: 0.0069, test: 0.0073]
 11%|█         | 215/2000 [01:46<13:52,  2.14it/s, train: 0.0047, test: 0.0136]
 11%|█         | 216/2000 [01:47<13:52,  2.14it/s, train: 0.0075, test: 0.0195]
 11%|█         | 217/2000 [01:47<13:51,  2.14it/s, train: 0.0096, test: 0.0148]
 11%|█         | 218/2000 [01:48<13:50,  2.15it/s, train: 0.0111, test: 0.0091]
 11%|█         | 219/2000 [01:48<13:49,  2.15it/s, train: 0.0074, test: 0.0124]
 11%|█         | 220/2000 [01:49<13:49,  2.15it/s, train: 0.0062, test: 0.0085]
 11%|█         | 221/2000 [01:49<13:49,  2.14it/s, train: 0.0047, test: 0.0078]
 11%|█         | 222/2000 [01:50<13:49,  2.14it/s, train: 0.0045, test: 0.0066]
 11%|█         | 223/2000 [01:50<13:50,  2.14it/s, train: 0.0038, test: 0.0070]
 11%|█         | 224/2000 [01:51<13:48,  2.14it/s, train: 0.0035, test: 0.0074]
 11%|█▏        | 225/2000 [01:51<13:49,  2.14it/s, train: 0.0037, test: 0.0074]
 11%|█▏        | 226/2000 [01:51<13:48,  2.14it/s, train: 0.0037, test: 0.0074]
 11%|█▏        | 227/2000 [01:52<13:47,  2.14it/s, train: 0.0038, test: 0.0065]
 11%|█▏        | 228/2000 [01:52<13:46,  2.14it/s, train: 0.0029, test: 0.0069]
