  0%|          | 0/1000 [00:00<?, ?it/s]E0208 10:54:02.497574 1439549 buffer_comparator.cc:157] Difference at 16: -1.34922, expected 3.85087
2025-02-08 10:54:03.526299: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.653816 1439549 buffer_comparator.cc:157] Difference at 2080: 0.00193589, expected 3.21166
E0208 10:54:03.653909 1439549 buffer_comparator.cc:157] Difference at 2081: 0.102015, expected 2.96013
E0208 10:54:03.653915 1439549 buffer_comparator.cc:157] Difference at 2082: 0.123008, expected 3.18135
E0208 10:54:03.653920 1439549 buffer_comparator.cc:157] Difference at 2083: 0.0366735, expected 3.10569
E0208 10:54:03.653925 1439549 buffer_comparator.cc:157] Difference at 2084: 0.0208961, expected 3.27484
E0208 10:54:03.653929 1439549 buffer_comparator.cc:157] Difference at 2085: 0.0215147, expected 3.18014
E0208 10:54:03.653934 1439549 buffer_comparator.cc:157] Difference at 2086: 0.013277, expected 3.12631
E0208 10:54:03.653938 1439549 buffer_comparator.cc:157] Difference at 2087: 0.0615987, expected 3.15322
E0208 10:54:03.653943 1439549 buffer_comparator.cc:157] Difference at 2088: 0.0465512, expected 3.43765
E0208 10:54:03.653947 1439549 buffer_comparator.cc:157] Difference at 2089: 0.0244156, expected 3.35592
2025-02-08 10:54:03.655075: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.772415 1439549 buffer_comparator.cc:157] Difference at 2080: 0.00193589, expected 3.21166
E0208 10:54:03.772519 1439549 buffer_comparator.cc:157] Difference at 2081: 0.102015, expected 2.96013
E0208 10:54:03.772525 1439549 buffer_comparator.cc:157] Difference at 2082: 0.123008, expected 3.18135
E0208 10:54:03.772530 1439549 buffer_comparator.cc:157] Difference at 2083: 0.0366735, expected 3.10569
E0208 10:54:03.772535 1439549 buffer_comparator.cc:157] Difference at 2084: 0.0208961, expected 3.27484
E0208 10:54:03.772540 1439549 buffer_comparator.cc:157] Difference at 2085: 0.0215147, expected 3.18014
E0208 10:54:03.772545 1439549 buffer_comparator.cc:157] Difference at 2086: 0.013277, expected 3.12631
E0208 10:54:03.772550 1439549 buffer_comparator.cc:157] Difference at 2087: 0.0615987, expected 3.15322
E0208 10:54:03.772555 1439549 buffer_comparator.cc:157] Difference at 2088: 0.0465512, expected 3.43765
E0208 10:54:03.772560 1439549 buffer_comparator.cc:157] Difference at 2089: 0.0244156, expected 3.35592
2025-02-08 10:54:03.773789: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.899938 1439549 buffer_comparator.cc:157] Difference at 4096: 0.0718421, expected 2.89318
E0208 10:54:03.900027 1439549 buffer_comparator.cc:157] Difference at 4097: 0.115915, expected 3.33935
E0208 10:54:03.900033 1439549 buffer_comparator.cc:157] Difference at 4098: 0.0407553, expected 3.25024
E0208 10:54:03.900038 1439549 buffer_comparator.cc:157] Difference at 4099: 0.0516806, expected 2.95441
E0208 10:54:03.900043 1439549 buffer_comparator.cc:157] Difference at 4100: 0.0570531, expected 2.96279
E0208 10:54:03.900047 1439549 buffer_comparator.cc:157] Difference at 4101: 0.116204, expected 2.81106
E0208 10:54:03.900052 1439549 buffer_comparator.cc:157] Difference at 4102: 0.0892245, expected 2.99832
E0208 10:54:03.900056 1439549 buffer_comparator.cc:157] Difference at 4103: 0.0547483, expected 3.20099
E0208 10:54:03.900061 1439549 buffer_comparator.cc:157] Difference at 4104: 0.110551, expected 2.98838
E0208 10:54:03.900065 1439549 buffer_comparator.cc:157] Difference at 4105: 0.101085, expected 3.1617
2025-02-08 10:54:03.901369: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
